elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
21,338.589580633343,502.3436282558004,183,143,2.9601,3.4095,166.3,39.458,1,256683,666006
24,269.8083871224801,576.8948973958617,176,132,2.9601,3.4095,166.3,39.458,1,256683,666106
22,219.69023651612056,658.2296897235507,148,126,2.9601,3.4095,166.3,39.458,1,256683,666206
25,139.0584503082771,744.1269557177335,87,93,2.9601,3.4095,166.3,39.458,1,256683,666306
20,48.181807782591946,832.9388337393148,49,123,2.9601,3.4095,166.3,39.458,1,256683,666406
17,19.085068241678336,921.2893648511464,22,140,2.9601,3.4095,166.3,39.458,1,256683,666506
34,119.03113197531056,1009.3330566291872,36,160,2.9601,3.4095,166.3,39.458,1,256683,666606
32,219.0256180433283,1097.376748407228,65,260,2.9601,3.4095,166.3,39.458,1,256683,666706
40,136.9849123280483,1185.4204401852687,122,274,2.9601,3.4095,166.3,39.458,0,256683,666806
34,69.72975468985877,1273.4641319633097,170,309,2.9601,3.4095,166.3,39.458,1,256683,666906
33,102.56073160060215,1361.5078237413502,230,352,2.9601,3.4095,166.3,39.458,1,256683,667006
30,189.60378016233696,1449.5518694409689,271,381,2.9601,3.4095,166.3,39.458,1,256683,667106
33,285.2442197996787,1536.2848836476878,262,333,2.9601,3.4095,166.3,39.458,1,256683,667206
34,250.1184420966339,1624.1615497716778,220,288,2.9601,3.4095,166.3,39.458,1,256683,667306
36,233.51747029743305,1713.206142919376,184,271,2.9601,3.4095,166.3,39.458,0,256683,667406
39,152.38150346927384,1803.2845360529277,159,197,2.9601,3.4095,166.3,39.458,0,256683,667506
21,601.4446113604306,2653.852301471748,176,53,2.8455,3.3141,163.7,37.886,1,256783,662306
21,505.5592199889207,2557.144217972852,203,48,2.8455,3.3141,163.7,37.886,1,256783,662406
18,411.6365257081936,2460.597663007682,200,37,2.8455,3.3141,163.7,37.886,1,256783,662506
20,321.2159942993243,2364.332100467366,186,32,2.8455,3.3141,163.7,37.886,1,256783,662606
20,238.2200057123312,2268.389671860192,135,27,2.8455,3.3141,163.7,37.886,1,256783,662706
25,169.4544373498702,2172.7611576192426,107,35,2.8455,3.3141,163.7,37.886,1,256783,662806
26,139.50897010223656,2077.326329616873,72,46,2.8455,3.3141,163.7,37.886,1,256783,662906
27,171.2177763349347,1982.3109891653712,51,50,2.8455,3.3141,163.7,37.886,1,256783,663006
25,208.2895591021663,1887.6001124326517,55,44,2.8455,3.3141,163.7,37.886,1,256783,663106
27,273.05671530869273,1792.823025185833,68,42,2.8455,3.3141,163.7,37.886,1,256783,663206
27,352.1810830591679,1698.5358031465587,81,22,2.8455,3.3141,163.7,37.886,1,256783,663306
29,439.626501850294,1604.549922735839,94,21,2.8455,3.3141,163.7,37.886,1,256783,663406
27,531.5180213252647,1510.4893256494054,97,21,2.8455,3.3141,163.7,37.886,1,256783,663506
25,625.8152212449834,1416.4787773037176,94,35,2.8455,3.3141,163.7,37.886,1,256783,663606
24,721.6404793433067,1322.71763846595,84,33,2.8455,3.3141,163.7,37.886,1,256783,663706
21,818.4651927307398,1229.1653891333217,67,36,2.8455,3.3141,163.7,37.886,1,256783,663806
18,792.0120658863711,1135.9010212364897,44,35,2.8455,3.3141,163.7,37.886,1,256783,663906
12,692.09846189575,1043.194355712142,33,45,2.8455,3.3141,163.7,37.886,2,256783,664006
